Title,Aired,Original Network,Score,Watch Platforms,Year_Simple,Release_Year,Score_Cleaned,Score_Ratings,Score_User_Base
Jeon Woo Chi,"Nov 21, 2012 - Feb 7, 2013",KBS2,6.9 (scored by 629 users),"Viki, Kocowa",2013,2013,6.9 (scored by 629 users),6.9,629
Baby-Faced Beauty,"May 2, 2011 - Jul 5, 2011",KBS2,"7.0 (scored by 5,070 users)",Kocowa,2011,2011,"7.0 (scored by 5,070 users)",7.0,5070
Romance Special Law,"Oct 24, 2017 - Nov 9, 2017",Naver TV Cast,"7.0 (scored by 1,040 users)","Viki, Kocowa",2017,2017,"7.0 (scored by 1,040 users)",7.0,1040
The Cravings,"Nov 17, 2013",Naver TV Cast,7.0 (scored by 282 users),"Viki, Tubi, Kocowa",2013,2013,7.0 (scored by 282 users),7.0,282
Devil's Diary,"Feb 24, 2016",Naver TV Cast,6.9 (scored by 188 users),,2016,2016,6.9 (scored by 188 users),6.9,188
Gray Shelter,"Apr 11, 2024 - Apr 25, 2024",,"7.0 (scored by 5,868 users)",iQIYI,2024,2024,"7.0 (scored by 5,868 users)",7.0,5868
Unexpected Heroes,"Dec 18, 2017 - Dec 29, 2017",Naver TV Cast,"7.0 (scored by 1,654 users)",Viki,2017,2017,"7.0 (scored by 1,654 users)",7.0,1654
Nobleman Ryu's Wedding,"Apr 15, 2021 - May 6, 2021",,"7.1 (scored by 11,326 users)",WeTV,2021,2021,"7.1 (scored by 11,326 users)",7.1,11326
Temptation,"Jul 14, 2014 - Sep 16, 2014",SBS,"7.0 (scored by 1,604 users)","Viki, SBS World, Kocowa",2014,2014,"7.0 (scored by 1,604 users)",7.0,1604
Haeundae Lovers,"Aug 6, 2012 - Sep 25, 2012",KBS2,"7.0 (scored by 2,375 users)",Viki,2012,2012,"7.0 (scored by 2,375 users)",7.0,2375
Happy Ending Romance,"Nov 24, 2022 - Dec 15, 2022",,"7.0 (scored by 5,575 users)","Viki, Wavve",2022,2022,"7.0 (scored by 5,575 users)",7.0,5575
My Daughter Geum Sa Wol,"Sep 5, 2015 - Feb 28, 2016",MBC,7.0 (scored by 638 users),Kocowa,2016,2016,7.0 (scored by 638 users),7.0,638
Individual Circumstances,"Jan 19, 2023 - Feb 9, 2023",,"7.0 (scored by 8,126 users)","Viki, iQIYI, Wavve",2023,2023,"7.0 (scored by 8,126 users)",7.0,8126
Love Alarm,"Aug 22, 2019",Netflix,"7.0 (scored by 78,728 users)",Netflix,2019,2019,"7.0 (scored by 78,728 users)",7.0,78728
Glass Mask,"Sep 3, 2012 - Apr 4, 2013",tvN,7.0 (scored by 533 users),,2013,2013,7.0 (scored by 533 users),7.0,533
Today Office Tomorrow Romance,"Jul 1, 2020 - Aug 5, 2020",,7.0 (scored by 424 users),Emotional Click,2020,2020,7.0 (scored by 424 users),7.0,424
Sound Candy,"Jun 3, 2023 - Jul 1, 2023",TVING,7.0 (scored by 319 users),"Abema TV, Viki, Kocowa",2023,2023,7.0 (scored by 319 users),7.0,319
Dr. Ian,"Mar 29, 2015 - Apr 8, 2015",Naver TV Cast,"7.0 (scored by 1,745 users)",,2015,2015,"7.0 (scored by 1,745 users)",7.0,1745
The Merchant: Gaekju 2015,"Sep 23, 2015 - Feb 18, 2016",KBS2,7.0 (scored by 376 users),"Viki, Kocowa",2016,2016,7.0 (scored by 376 users),7.0,376
Our Gap Soon,"Aug 27, 2016 - Apr 8, 2017",SBS,"7.0 (scored by 1,278 users)","Viki, Kocowa",2017,2017,"7.0 (scored by 1,278 users)",7.0,1278
Riders: Catch Tomorrow,"Nov 8, 2015 - Jan 24, 2016",E-Channel,7.0 (scored by 332 users),Viki,2016,2016,7.0 (scored by 332 users),7.0,332
First Kiss,"Jan 16, 2018 - Mar 22, 2018",jTBC,6.9 (scored by 211 users),,2018,2018,6.9 (scored by 211 users),6.9,211
Her Legend,"Aug 5, 2013 - Oct 8, 2013",jTBC,"7.0 (scored by 2,023 users)",Viki,2013,2013,"7.0 (scored by 2,023 users)",7.0,2023
Love Cells,"Nov 2, 2014 - Nov 20, 2014",Naver TV Cast,"7.0 (scored by 4,029 users)",Viki,2014,2014,"7.0 (scored by 4,029 users)",7.0,4029
Play Guide,"Jan 25, 2013 - Feb 22, 2013",tvN,6.8 (scored by 182 users),,2013,2013,6.8 (scored by 182 users),6.8,182
Dalgona,"Sep 9, 2020 - Sep 30, 2020",Naver TV Cast,7.0 (scored by 937 users),Emotional Click,2020,2020,7.0 (scored by 937 users),7.0,937
The Miracle (2016),"Dec 12, 2016 - Dec 23, 2016",Naver TV Cast,"7.0 (scored by 8,198 users)","Apple TV, Netflix, Viki",2016,2016,"7.0 (scored by 8,198 users)",7.0,8198
Hot and Sweet,"Oct 20, 2016 - Nov 1, 2016",Naver TV Cast,"7.0 (scored by 1,422 users)","Prime Video, AsianCrush",2016,2016,"7.0 (scored by 1,422 users)",7.0,1422
Another Parting,"Feb 17, 2014 - Feb 25, 2014",DRAMAcube,"6.9 (scored by 2,399 users)",,2014,2014,"6.9 (scored by 2,399 users)",6.9,2399
Infinite Power,"Nov 12, 2013 - Nov 26, 2013",CGV,6.8 (scored by 309 users),AsianCrush,2013,2013,6.8 (scored by 309 users),6.8,309
Never Fair,"Apr 27, 2025 - May 25, 2025",,"6.9 (scored by 1,312 users)",,2025,2025,"6.9 (scored by 1,312 users)",6.9,1312
Man Who Dies to Live,"Jul 19, 2017 - Aug 24, 2017",MBC,6.9 (scored by 385 users),Kocowa,2017,2017,6.9 (scored by 385 users),6.9,385
Aftermath (2014),"Jan 6, 2014 - Jan 12, 2014",Naver TV Cast,"6.9 (scored by 2,981 users)",,2014,2014,"6.9 (scored by 2,981 users)",6.9,2981
Fatal Promise,"Mar 30, 2020 - Aug 28, 2020",KBS2,7.0 (scored by 248 users),,2020,2020,7.0 (scored by 248 users),7.0,248
It's My Life,"Nov 5, 2018 - Apr 26, 2019",KBS1,6.9 (scored by 257 users),KBS World,2019,2019,6.9 (scored by 257 users),6.9,257
Lovely Horribly,"Aug 13, 2018 - Oct 2, 2018",KBS2,"7.0 (scored by 5,168 users)","Netflix, Viki, VIU Indonesia, Kocowa",2018,2018,"7.0 (scored by 5,168 users)",7.0,5168
Social Savvy Class 101,"Nov 10, 2024 - Nov 17, 2024",,"7.0 (scored by 1,637 users)","Viki, Netflix",2024,2024,"7.0 (scored by 1,637 users)",7.0,1637
Accent,"Jan 25, 2025",Shortime,6.8 (scored by 227 users),,2025,2025,6.8 (scored by 227 users),6.8,227
Welcome to Wedding Hell,"May 23, 2022 - Jun 15, 2022",Daum Kakao TV,"7.0 (scored by 2,888 users)",Netflix,2022,2022,"7.0 (scored by 2,888 users)",7.0,2888
My Unfortunate Boyfriend,"Apr 10, 2015 - May 30, 2015",MBC Dramanet,"7.0 (scored by 3,472 users)","Apple TV, Prime Video, AsianCrush, Tubi",2015,2015,"7.0 (scored by 3,472 users)",7.0,3472
I Am Legend,"Aug 2, 2010 - Sep 21, 2010",SBS,"7.0 (scored by 1,121 users)",SBS World,2010,2010,"7.0 (scored by 1,121 users)",7.0,1121
Can We Get Married? (2012),"Oct 29, 2012 - Jan 1, 2013",jTBC,"7.0 (scored by 3,369 users)","Apple TV, Viki, Kocowa",2013,2013,"7.0 (scored by 3,369 users)",7.0,3369
Running Gu,"Jun 10, 2010 - Jun 17, 2010",MBC,6.9 (scored by 249 users),,2010,2010,6.9 (scored by 249 users),6.9,249
Spark,"Jul 25, 2016 - Aug 11, 2016",Naver TV Cast,"7.0 (scored by 2,675 users)","Netflix, Viki",2016,2016,"7.0 (scored by 2,675 users)",7.0,2675
My Chilling Roommate,"Sep 16, 2022",,6.9 (scored by 444 users),"Apple TV, Viki",2022,2022,6.9 (scored by 444 users),6.9,444
True Ending,"Nov 21, 2019 - Jan 23, 2020",vLive,7.0 (scored by 979 users),,2020,2020,7.0 (scored by 979 users),7.0,979
Blow Breeze,"Aug 27, 2016 - Feb 26, 2017",MBC,7.0 (scored by 503 users),Viki,2017,2017,7.0 (scored by 503 users),7.0,503
Peng,"Oct 7, 2021 - Nov 5, 2021",,"7.0 (scored by 2,145 users)",Viki,2021,2021,"7.0 (scored by 2,145 users)",7.0,2145
Goodbye Dear Wife,"May 7, 2012 - Jul 10, 2012",Channel A,6.9 (scored by 473 users),"Apple TV, Netflix, AsianCrush, Viki",2012,2012,6.9 (scored by 473 users),6.9,473
The Chairman Is Level 9,"Apr 29, 2024 - Jun 3, 2024",Wavve,7.0 (scored by 796 users),"Wavve, Viki, Kocowa",2024,2024,7.0 (scored by 796 users),7.0,796
Dramaworld,"Apr 17, 2016 - May 15, 2016",Viki,"7.0 (scored by 6,131 users)","Apple TV, Viki, Prime Video",2016,2016,"7.0 (scored by 6,131 users)",7.0,6131
Oh! Boarding House,"Feb 22, 2022 - Mar 16, 2022",Viki,"7.0 (scored by 10,079 users)",Viki,2022,2022,"7.0 (scored by 10,079 users)",7.0,10079
Snap and Spark,"Dec 15, 2023 - Jan 10, 2024",,"7.0 (scored by 1,300 users)","KOK TV, iQIYI",2024,2024,"7.0 (scored by 1,300 users)",7.0,1300
She Is Wow!,"Apr 18, 2013 - Jul 4, 2013",tvN,"6.8 (scored by 1,354 users)",,2013,2013,"6.8 (scored by 1,354 users)",6.8,1354
Women at a Game Company,"Jul 25, 2016 - Aug 1, 2016",Naver TV Cast,6.9 (scored by 659 users),,2016,2016,6.9 (scored by 659 users),6.9,659
Hooray for Love,"Jul 16, 2011 - Jan 29, 2012",MBC,6.9 (scored by 457 users),,2012,2012,6.9 (scored by 457 users),6.9,457
Blossom Campus,"May 16, 2024",,"6.7 (scored by 2,975 users)",iQIYI,2024,2024,"6.7 (scored by 2,975 users)",6.7,2975
Loss Time Life,"Feb 13, 2019 - Feb 14, 2019",,6.9 (scored by 179 users),Kocowa,2019,2019,6.9 (scored by 179 users),6.9,179
