Title,Aired,Original Network,Score,Watch Platforms,Year_Simple,Release_Year,Score_Cleaned,Score_Ratings,Score_User_Base
The Law Cafe,"Sep 5, 2022 - Oct 25, 2022",KBS2,"8.0 (scored by 11,924 users)","Apple TV, VIU Indonesia, Viki, Kocowa",2022,2022,"8.0 (scored by 11,924 users)",8.0,11924
My Strange Hero,"Dec 10, 2018 - Feb 4, 2019",SBS,"8.0 (scored by 21,972 users)","Apple TV, Viki, SBS World, Kocowa",2019,2019,"8.0 (scored by 21,972 users)",8.0,21972
Would You Like a Cup of Coffee?,"Oct 24, 2021 - Dec 2, 2021",Daum Kakao TV,"8.0 (scored by 2,085 users)","WeTV, Viki, Kakao TV, Netflix, Tubi, Kocowa",2021,2021,"8.0 (scored by 2,085 users)",8.0,2085
Be My Dream Family,"Mar 29, 2021 - Oct 1, 2021",KBS1,8.0 (scored by 613 users),"KBS World, Kocowa",2021,2021,8.0 (scored by 613 users),8.0,613
Marriage Contract,"Mar 5, 2016 - Apr 24, 2016",MBC,"8.0 (scored by 13,409 users)","Netflix, Viki, Kocowa",2016,2016,"8.0 (scored by 13,409 users)",8.0,13409
Ball Boy Tactics,"Jun 5, 2025 - Jun 26, 2025",,"8.0 (scored by 8,061 users)",iQIYI,2025,2025,"8.0 (scored by 8,061 users)",8.0,8061
Do You Like Brahms?,"Aug 31, 2020 - Oct 20, 2020",SBS,"8.0 (scored by 15,448 users)","Netflix, Viki, SBS World, VIU Indonesia, Kocowa",2020,2020,"8.0 (scored by 15,448 users)",8.0,15448
Mistress,"Apr 28, 2018 - Jun 3, 2018",OCN,"8.0 (scored by 2,017 users)","Apple TV, Viki",2018,2018,"8.0 (scored by 2,017 users)",8.0,2017
Brewing Love,"Nov 4, 2024 - Dec 10, 2024",ENA,"8.0 (scored by 13,944 users)",Viki,2024,2024,"8.0 (scored by 13,944 users)",8.0,13944
Miss Hammurabi,"May 21, 2018 - Jul 16, 2018",jTBC,"8.0 (scored by 13,419 users)","Netflix, WeTV, Viki, VIU Indonesia, Tubi",2018,2018,"8.0 (scored by 13,419 users)",8.0,13419
Your Honor,"Jul 25, 2018 - Sep 20, 2018",SBS,"8.0 (scored by 6,239 users)","Apple TV, Viki, SBS World, Kocowa",2018,2018,"8.0 (scored by 6,239 users)",8.0,6239
The Witch's Diner,"Jul 16, 2021 - Aug 13, 2021",TVING,"8.0 (scored by 11,326 users)","Apple TV, WeTV, Viki, iflix",2021,2021,"8.0 (scored by 11,326 users)",8.0,11326
Insider,"Jun 8, 2022 - Jul 28, 2022",jTBC,"8.0 (scored by 2,916 users)",Viki,2022,2022,"8.0 (scored by 2,916 users)",8.0,2916
The Eighth Sense,"Mar 29, 2023 - Apr 26, 2023",,"8.0 (scored by 27,908 users)",Viki,2023,2023,"8.0 (scored by 27,908 users)",8.0,27908
Save Me Season 2,"May 8, 2019 - Jun 27, 2019",OCN,"8.0 (scored by 1,706 users)","Prime Video, Roku",2019,2019,"8.0 (scored by 1,706 users)",8.0,1706
When the Phone Rings,"Nov 22, 2024 - Jan 4, 2025",MBC,"8.0 (scored by 53,127 users)","Wavve, Netflix",2025,2025,"8.0 (scored by 53,127 users)",8.0,53127
The Good Wife,"Jul 8, 2016 - Aug 27, 2016",tvN,"8.0 (scored by 2,118 users)",,2016,2016,"8.0 (scored by 2,118 users)",8.0,2118
The Slave Hunters,"Jan 6, 2010 - Mar 25, 2010",KBS2,"8.0 (scored by 3,606 users)","Viki, Kocowa",2010,2010,"8.0 (scored by 3,606 users)",8.0,3606
Love Playlist Season 3,"Sep 20, 2018 - Oct 27, 2018","Naver TV Cast, vLive","8.0 (scored by 2,663 users)","WeTV, PlayList Global",2018,2018,"8.0 (scored by 2,663 users)",8.0,2663
Hit the Top,"Jun 2, 2017 - Jul 22, 2017",KBS2,"8.0 (scored by 19,215 users)","Apple TV, Netflix, Viki, Kocowa",2017,2017,"8.0 (scored by 19,215 users)",8.0,19215
The Secret Life of My Secretary,"May 6, 2019 - Jun 25, 2019",SBS,"8.0 (scored by 32,636 users)","Netflix, WeTV, Viki, SBS World, VIU Indonesia, Kocowa",2019,2019,"8.0 (scored by 32,636 users)",8.0,32636
Kiss Sixth Sense,"May 25, 2022 - Jun 29, 2022",Disney+,"8.0 (scored by 11,603 users)","Disney+ Hotstar, Disney+, Hulu",2022,2022,"8.0 (scored by 11,603 users)",8.0,11603
A-Teen,"Jul 1, 2018 - Sep 16, 2018","Naver TV Cast, vLive","8.0 (scored by 14,655 users)","Netflix, WeTV, PlayList Global, Viki, Wavve, Kocowa",2018,2018,"8.0 (scored by 14,655 users)",8.0,14655
Blueming,"Mar 31, 2022",iQiyi,"8.0 (scored by 27,598 users)",iQIYI,2022,2022,"8.0 (scored by 27,598 users)",8.0,27598
Tomorrow with You,"Feb 3, 2017 - Mar 25, 2017",tvN,"8.0 (scored by 19,590 users)","Apple TV, Netflix, WeTV, Viki, iQIYI, VIU Indonesia, Tubi",2017,2017,"8.0 (scored by 19,590 users)",8.0,19590
Anna: Extended Version,"Aug 12, 2022",COUPANG TV,"7.9 (scored by 1,284 users)",Prime Video,2022,2022,"7.9 (scored by 1,284 users)",7.9,1284
The Midnight Studio,"Mar 11, 2024 - May 6, 2024","ENA, Genie TV","8.0 (scored by 7,509 users)",Viki,2024,2024,"8.0 (scored by 7,509 users)",8.0,7509
Children of a Lesser God,"Mar 3, 2018 - Apr 22, 2018",OCN,"8.0 (scored by 1,757 users)","Apple TV, Roku, Tubi",2018,2018,"8.0 (scored by 1,757 users)",8.0,1757
The Golden Spoon,"Sep 23, 2022 - Nov 12, 2022",MBC,"8.0 (scored by 9,821 users)","Disney+ Hotstar, Disney+, Hulu",2022,2022,"8.0 (scored by 9,821 users)",8.0,9821
Blood Free,"Apr 10, 2024 - May 8, 2024",Disney+,"8.0 (scored by 5,637 users)","Disney+, Hulu",2024,2024,"8.0 (scored by 5,637 users)",8.0,5637
It's Okay to Be Sensitive,"Jul 12, 2018 - Aug 16, 2018",Naver TV Cast,"8.0 (scored by 2,176 users)",tvN D STORY,2018,2018,"8.0 (scored by 2,176 users)",8.0,2176
Miracle That We Met,"Apr 2, 2018 - May 29, 2018",KBS2,"8.0 (scored by 2,140 users)","Viki, Kocowa",2018,2018,"8.0 (scored by 2,140 users)",8.0,2140
Life,"Jul 23, 2018 - Sep 11, 2018",jTBC,"8.0 (scored by 6,810 users)","Netflix, Viki",2018,2018,"8.0 (scored by 6,810 users)",8.0,6810
Ho Goo's Love,"Feb 9, 2015 - Mar 31, 2015",tvN,"8.0 (scored by 8,807 users)","Prime Video, AsianCrush, Tubi",2015,2015,"8.0 (scored by 8,807 users)",8.0,8807
She Was Pretty,"Sep 16, 2015 - Nov 11, 2015",MBC,"8.0 (scored by 65,586 users)","Apple TV, Netflix, WeTV, Viki, iQIYI, HBO Max, Kocowa",2015,2015,"8.0 (scored by 65,586 users)",8.0,65586
Brain Works,"Jan 2, 2023 - Feb 28, 2023",KBS2,"8.0 (scored by 3,203 users)","Viki, Wavve, Netflix, Kocowa",2023,2023,"8.0 (scored by 3,203 users)",8.0,3203
Buried Hearts,"Feb 21, 2025 - Apr 12, 2025",SBS,"8.0 (scored by 8,525 users)","Disney+ Hotstar, Disney+, Wavve, Hulu",2025,2025,"8.0 (scored by 8,525 users)",8.0,8525
Bossam: Steal the Fate,"May 1, 2021 - Jul 4, 2021","MBN, Wavve","8.0 (scored by 2,914 users)",Viki,2021,2021,"8.0 (scored by 2,914 users)",8.0,2914
Chief of Staff,"Jun 14, 2019 - Jul 13, 2019",jTBC,"8.0 (scored by 2,647 users)",Netflix,2019,2019,"8.0 (scored by 2,647 users)",8.0,2647
Island Part 2,"Feb 24, 2023 - Mar 10, 2023",TVING,"8.0 (scored by 11,773 users)",Prime Video,2023,2023,"8.0 (scored by 11,773 users)",8.0,11773
Dream High,"Jan 3, 2011 - Feb 28, 2011",KBS2,"8.0 (scored by 46,618 users)","Netflix, Viki, Kocowa",2011,2011,"8.0 (scored by 46,618 users)",8.0,46618
Shadow Detective Season 2,"Jul 5, 2023 - Jul 26, 2023",Disney+,7.9 (scored by 992 users),"Disney+, Hulu",2023,2023,7.9 (scored by 992 users),7.9,992
Moment at Eighteen,"Jul 22, 2019 - Sep 10, 2019",jTBC,"7.9 (scored by 17,785 users)","Netflix, WeTV, Viki, VIU Indonesia, Kocowa",2019,2019,"7.9 (scored by 17,785 users)",7.9,17785
Wok of Love,"May 7, 2018 - Jul 17, 2018",SBS,"8.0 (scored by 16,293 users)","Apple TV, Netflix, Viki, VIU Indonesia, SBS World, Kocowa",2018,2018,"8.0 (scored by 16,293 users)",8.0,16293
Unlock My Boss,"Dec 7, 2022 - Jan 12, 2023",ENA,"8.0 (scored by 9,478 users)","Viki, Prime Video, Netflix",2023,2023,"8.0 (scored by 9,478 users)",8.0,9478
Something in the Rain,"Mar 30, 2018 - May 19, 2018",jTBC,"8.0 (scored by 40,350 users)","Netflix, Viki, Tubi, Kocowa",2018,2018,"8.0 (scored by 40,350 users)",8.0,40350
She Would Never Know,"Jan 18, 2021 - Mar 9, 2021","iQiyi, jTBC","7.9 (scored by 25,310 users)","Netflix, iQIYI, Prime Video",2021,2021,"7.9 (scored by 25,310 users)",7.9,25310
Memories of the Alhambra,"Dec 1, 2018 - Jan 20, 2019",tvN,"8.0 (scored by 38,141 users)",Netflix,2019,2019,"8.0 (scored by 38,141 users)",8.0,38141
The Universe’s Star,"Jan 26, 2017 - Feb 9, 2017","MBC, Naver TV Cast","7.9 (scored by 7,454 users)",,2017,2017,"7.9 (scored by 7,454 users)",7.9,7454
Shut Up: Flower Boy Band,"Jan 30, 2012 - Mar 20, 2012",tvN,"8.0 (scored by 19,406 users)","iQIYI, Tubi",2012,2012,"8.0 (scored by 19,406 users)",8.0,19406
Missing You,"Nov 7, 2012 - Jan 17, 2013",MBC,"7.9 (scored by 14,431 users)",Viki,2013,2013,"7.9 (scored by 14,431 users)",7.9,14431
The Last Empress,"Nov 21, 2018 - Feb 21, 2019",SBS,"7.9 (scored by 12,005 users)","Netflix, Viki, iQIYI, SBS World, Kocowa",2019,2019,"7.9 (scored by 12,005 users)",7.9,12005
Dog Knows Everything,"Sep 25, 2024 - Oct 31, 2024",KBS2,7.9 (scored by 736 users),"Viki, Wavve, Kocowa",2024,2024,7.9 (scored by 736 users),7.9,736
Law and the City,"Jul 5, 2025 - Aug 10, 2025",tvN,"7.9 (scored by 2,107 users)","Disney+ Hotstar, TVING, Viki",2025,2025,"7.9 (scored by 2,107 users)",7.9,2107
Captivating the King,"Jan 21, 2024 - Mar 3, 2024","TVING, tvN","8.0 (scored by 6,761 users)","TVING, Netflix",2024,2024,"8.0 (scored by 6,761 users)",8.0,6761
V.I.P,"Oct 28, 2019 - Dec 24, 2019",SBS,"7.9 (scored by 5,856 users)","Netflix, Viki, Kocowa",2019,2019,"7.9 (scored by 5,856 users)",7.9,5856
Dinner Mate,"May 25, 2020 - Jul 14, 2020","iQiyi, MBC","8.0 (scored by 9,435 users)","iQIYI, Prime Video",2020,2020,"8.0 (scored by 9,435 users)",8.0,9435
Dear.M,"Jun 29, 2022 - Jul 6, 2022",KBS Joy,"8.0 (scored by 13,394 users)","WeTV, Viki, iQIYI, VIU Indonesia, Wavve",2022,2022,"8.0 (scored by 13,394 users)",8.0,13394
"Poong, the Joseon Psychiatrist","Aug 1, 2022 - Sep 6, 2022",tvN,"7.9 (scored by 4,659 users)","Apple TV, Viki, WeTV, Netflix",2022,2022,"7.9 (scored by 4,659 users)",7.9,4659
"Please Come Back, Mister","Feb 24, 2016 - Apr 14, 2016",SBS,"7.9 (scored by 11,671 users)","Apple TV, Viki, SBS World, Kocowa",2016,2016,"7.9 (scored by 11,671 users)",7.9,11671
"Dong Jae, the Good or the Bastard","Oct 10, 2024 - Nov 7, 2024","TVING, tvN","7.9 (scored by 1,045 users)",TVING,2024,2024,"7.9 (scored by 1,045 users)",7.9,1045
Sweet Home Season 2,"Dec 1, 2023",Netflix,"8.0 (scored by 30,874 users)",Netflix,2023,2023,"8.0 (scored by 30,874 users)",8.0,30874
Doctor Lawyer,"Jun 3, 2022 - Jul 23, 2022",MBC,"8.0 (scored by 4,500 users)","Disney+ Hotstar, Disney+, Hulu",2022,2022,"8.0 (scored by 4,500 users)",8.0,4500
Dokgo Rewind,"Sep 7, 2018",Oksusu,"7.9 (scored by 4,680 users)",Viki,2018,2018,"7.9 (scored by 4,680 users)",7.9,4680
"Poong, the Joseon Psychiatrist Season 2","Jan 11, 2023 - Feb 9, 2023",tvN,"7.9 (scored by 2,177 users)","Viki, VIU Indonesia",2023,2023,"7.9 (scored by 2,177 users)",7.9,2177
Heart Surgeons,"Sep 27, 2018 - Nov 15, 2018",SBS,"7.9 (scored by 1,368 users)","Viki, SBS World",2018,2018,"7.9 (scored by 1,368 users)",7.9,1368
The Trunk,"Nov 29, 2024",Netflix,"7.9 (scored by 17,281 users)",Netflix,2024,2024,"7.9 (scored by 17,281 users)",7.9,17281
Argon,"Sep 4, 2017 - Sep 26, 2017",tvN,"7.9 (scored by 1,974 users)","Netflix, Tubi, Roku",2017,2017,"7.9 (scored by 1,974 users)",7.9,1974
Shadow Detective,"Oct 26, 2022 - Nov 16, 2022",Disney+,"7.9 (scored by 1,701 users)","Disney+ Hotstar, Disney+, Hulu",2022,2022,"7.9 (scored by 1,701 users)",7.9,1701
"Seo Yeong, My Daughter","Sep 15, 2012 - Mar 3, 2013",KBS2,"7.9 (scored by 2,100 users)","Viki, KBS World, Kocowa",2013,2013,"7.9 (scored by 2,100 users)",7.9,2100
Shadow Beauty,"Nov 20, 2021 - Dec 29, 2021",Daum Kakao TV,"7.9 (scored by 9,551 users)","WeTV, Viki, Kakao TV",2021,2021,"7.9 (scored by 9,551 users)",7.9,9551
Joseon Attorney: A Morality,"Mar 31, 2023 - May 20, 2023",MBC,"7.9 (scored by 4,589 users)","Viki, Kocowa",2023,2023,"7.9 (scored by 4,589 users)",7.9,4589
Imitation,"May 7, 2021 - Jul 23, 2021",KBS2,"7.9 (scored by 17,184 users)","Netflix, Viki, iQIYI, Prime Video",2021,2021,"7.9 (scored by 17,184 users)",7.9,17184
Boys Be Brave!,"Apr 25, 2024 - May 16, 2024",,"7.6 (scored by 10,042 users)",Viki,2024,2024,"7.6 (scored by 10,042 users)",7.6,10042
Missing Crown Prince,"Apr 13, 2024 - Jun 16, 2024",MBN,"7.9 (scored by 2,639 users)","Viki, TVING",2024,2024,"7.9 (scored by 2,639 users)",7.9,2639
Comrades,"Jun 19, 2010 - Aug 22, 2010",KBS1,7.8 (scored by 267 users),,2010,2010,7.8 (scored by 267 users),7.8,267
Undercover,"Apr 23, 2021 - Jun 12, 2021",jTBC,"7.9 (scored by 1,756 users)",,2021,2021,"7.9 (scored by 1,756 users)",7.9,1756
The Queen's Classroom,"Jun 12, 2013 - Aug 1, 2013",MBC,"7.9 (scored by 1,703 users)",Viki,2013,2013,"7.9 (scored by 1,703 users)",7.9,1703
Once Upon a Small Town,"Sep 5, 2022 - Sep 28, 2022",Daum Kakao TV,"7.9 (scored by 23,532 users)",Netflix,2022,2022,"7.9 (scored by 23,532 users)",7.9,23532
Love Playlist,"Mar 9, 2017 - Apr 1, 2017","Naver TV Cast, vLive","7.9 (scored by 4,155 users)","WeTV, PlayList Global",2017,2017,"7.9 (scored by 4,155 users)",7.9,4155
"That Winter, the Wind Blows","Feb 13, 2013 - Apr 4, 2013",SBS,"7.9 (scored by 20,027 users)","Apple TV, Netflix, Viki, Tubi, Wavve",2013,2013,"7.9 (scored by 20,027 users)",7.9,20027
Heavenly Ever After,"Apr 19, 2025 - May 25, 2025",jTBC,"7.9 (scored by 4,200 users)",Netflix,2025,2025,"7.9 (scored by 4,200 users)",7.9,4200
You Want Some?,"Dec 5, 2024",Vigloo,7.6 (scored by 885 users),,2024,2024,7.6 (scored by 885 users),7.6,885
"Hello, Me!","Feb 17, 2021 - Apr 8, 2021",KBS2,"7.9 (scored by 10,070 users)",Netflix,2021,2021,"7.9 (scored by 10,070 users)",7.9,10070
Arang and the Magistrate,"Aug 15, 2012 - Oct 18, 2012",MBC,"7.9 (scored by 13,637 users)",Kocowa,2012,2012,"7.9 (scored by 13,637 users)",7.9,13637
Witch's Romance,"Apr 14, 2014 - Jun 10, 2014",tvN,"7.9 (scored by 13,912 users)","Apple TV, iQIYI, Prime Video, AsianCrush, Tubi",2014,2014,"7.9 (scored by 13,912 users)",7.9,13912
Never Give Up,"May 4, 2022 - Jun 23, 2022",ENA,7.9 (scored by 959 users),Netflix,2022,2022,7.9 (scored by 959 users),7.9,959
The Emperor: Owner of the Mask,"May 10, 2017 - Jul 13, 2017",MBC,"7.9 (scored by 8,912 users)","Netflix, Kocowa",2017,2017,"7.9 (scored by 8,912 users)",7.9,8912
My Husband Got a Family,"Feb 25, 2012 - Sep 9, 2012",KBS2,"7.9 (scored by 1,196 users)",Kocowa,2012,2012,"7.9 (scored by 1,196 users)",7.9,1196
When the Devil Calls Your Name,"Jul 31, 2019 - Sep 19, 2019",tvN,"7.9 (scored by 4,036 users)",iQIYI,2019,2019,"7.9 (scored by 4,036 users)",7.9,4036
Spring Turns to Spring,"Jan 23, 2019 - Mar 21, 2019",MBC,"7.9 (scored by 1,463 users)","Apple TV, Viki, Kocowa",2019,2019,"7.9 (scored by 1,463 users)",7.9,1463
Lovestruck in the City,"Dec 22, 2020 - Feb 16, 2021",Daum Kakao TV,"7.9 (scored by 30,310 users)","Netflix, Kakao TV",2021,2021,"7.9 (scored by 30,310 users)",7.9,30310
Queen of Mystery Season 2,"Feb 28, 2018 - Apr 19, 2018",KBS2,"7.9 (scored by 2,210 users)","Apple TV, Viki, Kocowa",2018,2018,"7.9 (scored by 2,210 users)",7.9,2210
Twenty-Twenty,"Aug 15, 2020 - Oct 21, 2020","jTBC, Naver TV Cast, vLive","7.9 (scored by 6,394 users)","WeTV, PlayList Global, Viki",2020,2020,"7.9 (scored by 6,394 users)",7.9,6394
School 2021,"Nov 24, 2021 - Jan 13, 2022",KBS2,"7.9 (scored by 9,306 users)",Viki,2022,2022,"7.9 (scored by 9,306 users)",7.9,9306
The First Night with the Duke,"Jun 11, 2025 - Jul 17, 2025",KBS2,"7.9 (scored by 6,242 users)","Viki, VIU Indonesia, Wavve",2025,2025,"7.9 (scored by 6,242 users)",7.9,6242
Shark 2: The Storm,"May 15, 2025",TVING,"8.0 (scored by 2,169 users)",TVING,2025,2025,"8.0 (scored by 2,169 users)",8.0,2169
Secret Mother,"May 12, 2018 - Jul 7, 2018",SBS,7.9 (scored by 910 users),"Viki, SBS World, Kocowa",2018,2018,7.9 (scored by 910 users),7.9,910
Pied Piper,"Mar 7, 2016 - Apr 26, 2016",tvN,"7.9 (scored by 1,211 users)",,2016,2016,"7.9 (scored by 1,211 users)",7.9,1211
A-Teen Season 2,"Apr 21, 2019 - Jun 27, 2019","Naver TV Cast, vLive","7.9 (scored by 9,390 users)","WeTV, PlayList Global, Viki, Wavve",2019,2019,"7.9 (scored by 9,390 users)",7.9,9390
Here's My Plan,"May 19, 2021 - May 27, 2021",MBC,"7.9 (scored by 2,335 users)","Viki, Wavve, Kocowa",2021,2021,"7.9 (scored by 2,335 users)",7.9,2335
The Boy Next Door,"Apr 3, 2017 - Apr 28, 2017",Naver TV Cast,"7.9 (scored by 14,405 users)",Dingo K-Drama,2017,2017,"7.9 (scored by 14,405 users)",7.9,14405
Less Than Evil,"Dec 3, 2018 - Jan 29, 2019",MBC,"7.9 (scored by 1,386 users)","Viki, Kocowa",2019,2019,"7.9 (scored by 1,386 users)",7.9,1386
Doctor Stranger,"May 5, 2014 - Jul 8, 2014",SBS,"7.9 (scored by 40,510 users)","Netflix, Viki, iQIYI, SBS World, VIU Indonesia, Kocowa",2014,2014,"7.9 (scored by 40,510 users)",7.9,40510
So I Married an Anti-Fan,"Apr 30, 2021 - Jun 19, 2021","Amazon Prime, iQiyi, Naver TV Cast, Viki","7.9 (scored by 31,235 users)","Viki, iQIYI, Hulu, Prime Video, Wavve",2021,2021,"7.9 (scored by 31,235 users)",7.9,31235
My Man Is Cupid,"Dec 1, 2023 - Jan 20, 2024",Amazon Prime,"7.9 (scored by 13,854 users)",Prime Video,2024,2024,"7.9 (scored by 13,854 users)",7.9,13854
Priest,"Nov 24, 2018 - Jan 20, 2019",OCN,"7.9 (scored by 2,326 users)","Apple TV, Tubi, Roku",2019,2019,"7.9 (scored by 2,326 users)",7.9,2326
Last,"Jul 24, 2015 - Sep 12, 2015",jTBC,"7.9 (scored by 1,347 users)",Viki,2015,2015,"7.9 (scored by 1,347 users)",7.9,1347
The Three Musketeers,"Aug 17, 2014 - Nov 2, 2014",tvN,"7.8 (scored by 2,960 users)",Tubi,2014,2014,"7.8 (scored by 2,960 users)",7.8,2960
Mrs. Cop,"Aug 3, 2015 - Sep 29, 2015",SBS,"7.9 (scored by 1,895 users)","Apple TV, Viki, SBS World, SBS VOD, Kocowa",2015,2015,"7.9 (scored by 1,895 users)",7.9,1895
Take 1,"Oct 14, 2022",Netflix,7.8 (scored by 387 users),Netflix,2022,2022,7.8 (scored by 387 users),7.8,387
The Lies Within,"Oct 12, 2019 - Dec 1, 2019",OCN,"7.9 (scored by 4,185 users)",Netflix,2019,2019,"7.9 (scored by 4,185 users)",7.9,4185
Good Job,"Aug 24, 2022 - Sep 29, 2022",ENA,"7.9 (scored by 6,980 users)","Viki, iQIYI",2022,2022,"7.9 (scored by 6,980 users)",7.9,6980
Doctors,"Jun 20, 2016 - Aug 23, 2016",SBS,"7.9 (scored by 41,317 users)","Apple TV, Netflix, Viki, Prime Video, SBS World, VIU Indonesia, SBS VOD, Kocowa",2016,2016,"7.9 (scored by 41,317 users)",7.9,41317
Real:Time:Love Season 2,"Jan 24, 2020 - Mar 13, 2020",vLive,"7.9 (scored by 1,307 users)",WeTV,2020,2020,"7.9 (scored by 1,307 users)",7.9,1307
Falsify,"Jul 24, 2017 - Sep 12, 2017",SBS,"7.9 (scored by 1,923 users)","Netflix, Viki, SBS World, Kocowa",2017,2017,"7.9 (scored by 1,923 users)",7.9,1923
The Great Shaman Ga Doo Shim,"Jul 30, 2021 - Oct 8, 2021",Daum Kakao TV,"7.9 (scored by 10,414 users)","Viki, iQIYI, Hulu",2021,2021,"7.9 (scored by 10,414 users)",7.9,10414
Emergency Couple,"Jan 24, 2014 - Apr 5, 2014",tvN,"7.9 (scored by 26,580 users)","Apple TV, Viki, iQIYI, VIU Indonesia, K-DRAMA, Tubi",2014,2014,"7.9 (scored by 26,580 users)",7.9,26580
The Defects,"Jul 21, 2025 - Aug 12, 2025",ENA,8.0 (scored by 583 users),"TVING, Kocowa",2025,2025,8.0 (scored by 583 users),8.0,583
My Beautiful Bride,"Jun 20, 2015 - Aug 9, 2015",OCN,"7.9 (scored by 2,600 users)","Prime Video, Tubi",2015,2015,"7.9 (scored by 2,600 users)",7.9,2600
Our Dating Sim,"Mar 9, 2023 - Mar 30, 2023",,"7.9 (scored by 27,826 users)",Viki,2023,2023,"7.9 (scored by 27,826 users)",7.9,27826
Devilish Joy,"Sep 5, 2018 - Oct 25, 2018","DramaX, MBN","7.9 (scored by 12,243 users)","Apple TV, Viki, Prime Video",2018,2018,"7.9 (scored by 12,243 users)",7.9,12243
The Wind Blows,"May 27, 2019 - Jul 16, 2019",jTBC,"7.9 (scored by 1,037 users)",Netflix,2019,2019,"7.9 (scored by 1,037 users)",7.9,1037
It's Beautiful Now,"Apr 2, 2022 - Sep 18, 2022",KBS2,"7.9 (scored by 2,548 users)","KBS World, Wavve, Viki, Kocowa",2022,2022,"7.9 (scored by 2,548 users)",7.9,2548
Let's Eat,"Nov 28, 2013 - Mar 13, 2014",tvN,"7.9 (scored by 8,675 users)","Apple TV, Netflix, Tubi",2014,2014,"7.9 (scored by 8,675 users)",7.9,8675
Just Dance,"Dec 3, 2018 - Dec 25, 2018",KBS2,"7.9 (scored by 1,896 users)","Viki, KBS World, Kocowa",2018,2018,"7.9 (scored by 1,896 users)",7.9,1896
Gap Dong,"Apr 11, 2014 - Jun 21, 2014",tvN,"7.9 (scored by 5,267 users)",Tubi,2014,2014,"7.9 (scored by 5,267 users)",7.9,5267
The Frog,"Aug 23, 2024",Netflix,"7.9 (scored by 10,944 users)",Netflix,2024,2024,"7.9 (scored by 10,944 users)",7.9,10944
Sing My Crush,"Aug 2, 2023",,"7.9 (scored by 9,788 users)",iQIYI,2023,2023,"7.9 (scored by 9,788 users)",7.9,9788
Gangnam B-Side,"Nov 6, 2024 - Nov 27, 2024",Disney+,"7.9 (scored by 6,725 users)","Disney+, Hulu",2024,2024,"7.9 (scored by 6,725 users)",7.9,6725
Police University,"Aug 9, 2021 - Oct 5, 2021","KBS2, Wavve","7.9 (scored by 12,635 users)","Netflix, Viki, Prime Video, VIU Indonesia",2021,2021,"7.9 (scored by 12,635 users)",7.9,12635
Fall for You,"Oct 20, 2022 - Dec 23, 2022",EBS,"7.9 (scored by 1,406 users)","Apple TV, Netflix, Wavve, TVING",2022,2022,"7.9 (scored by 1,406 users)",7.9,1406
It's Okay to Be Sensitive Season 2,"Feb 1, 2019 - Mar 5, 2019","Naver TV Cast, vLive","7.9 (scored by 1,041 users)",tvN D STORY,2019,2019,"7.9 (scored by 1,041 users)",7.9,1041
River Where the Moon Rises,"Feb 15, 2021 - Apr 20, 2021",KBS2,"7.9 (scored by 5,671 users)","Apple TV, Viki",2021,2021,"7.9 (scored by 5,671 users)",7.9,5671
The Girl Who Sees Scents,"Apr 1, 2015 - May 21, 2015",SBS,"7.9 (scored by 25,571 users)","Netflix, Viki, SBS World, VIU Indonesia, Kocowa",2015,2015,"7.9 (scored by 25,571 users)",7.9,25571
Decoy: Part 1,"Jan 27, 2023 - Feb 10, 2023",COUPANG TV,"7.9 (scored by 1,221 users)","Viki, Prime Video",2023,2023,"7.9 (scored by 1,221 users)",7.9,1221
Let's Eat Season 2,"Apr 6, 2015 - Jun 2, 2015",tvN,"7.9 (scored by 4,991 users)",Tubi,2015,2015,"7.9 (scored by 4,991 users)",7.9,4991
Marry Me Now?,"Mar 17, 2018 - Sep 9, 2018",KBS2,"7.9 (scored by 1,958 users)","Apple TV, Viki, KBS World, Kocowa",2018,2018,"7.9 (scored by 1,958 users)",7.9,1958
Dr. Brain,"Nov 4, 2021 - Dec 10, 2021",,"7.9 (scored by 2,520 users)",Apple TV,2021,2021,"7.9 (scored by 2,520 users)",7.9,2520
W.H.Y.,"Nov 10, 2018 - Dec 13, 2018","Naver TV Cast, vLive","7.9 (scored by 3,136 users)",PlayList Global,2018,2018,"7.9 (scored by 3,136 users)",7.9,3136
One Fine Week,"Oct 8, 2019 - Nov 7, 2019","Naver TV Cast, vLive","7.9 (scored by 4,992 users)","Viki, KOK TV, Kocowa",2019,2019,"7.9 (scored by 4,992 users)",7.9,4992
Goodbye to Goodbye,"May 26, 2018 - Aug 4, 2018",MBC,"7.9 (scored by 1,680 users)",Kocowa,2018,2018,"7.9 (scored by 1,680 users)",7.9,1680
Love Affairs in the Afternoon,"Jul 5, 2019 - Aug 24, 2019",Channel A,"7.9 (scored by 3,821 users)",Viki,2019,2019,"7.9 (scored by 3,821 users)",7.9,3821
Tracer,"Jan 7, 2022 - Jan 29, 2022","MBC, Wavve","7.8 (scored by 1,413 users)","Wavve, Viki, Kocowa",2022,2022,"7.8 (scored by 1,413 users)",7.8,1413
The Gentlemen of Wolgyesu Tailor Shop,"Aug 27, 2016 - Feb 26, 2017",KBS2,"7.9 (scored by 1,553 users)","KBS World, Kocowa",2017,2017,"7.9 (scored by 1,553 users)",7.9,1553
